"LANGUAGE","Angol"
"LBR_NAME","Életciklus-kiegyensúlyozás újratöltve"
"LBR_DESC","Növeli és véletlenszerűvé teszi a polgárok élettartamát, véletlenszerűvé teszi a bevándorlók életkorát és iskolai végzettségét, és megváltoztatja a polgárok munkába való utazásának módját"
"LBR_SPN","Élettartam"
"LBR_SPN_WRN","Figyelmeztetés"
"LBR_SPN_BAL","A beállítások játék közbeni módosítása átmenetileg megzavarhatja a város egyensúlyát."
"LBR_SPN_BAK","A változtatás előtt ERŐSEN ajánlott biztonsági másolat mentése."
"LBR_CAL","Életciklus számítási modell"
"LBR_CAL_SUN","A Sunset Harbor DLC szerinti élettartam (alapértelmezett)"
"LBR_CAL_LEG","Örökölt élettartamok (eredeti mod szerinti) – rövidebb élettartam, kevesebb idős"
"LBR_CAL_VAN","Vanilla Sunset Harbor szerinti élettartam – kevésbé változó élettartam, valamivel több időskorú"
"LBR_SHO","(csak a Sunset Harbor DLC élettartamának használata esetén)"
"LBR_RET","Nyugdíjkorhatári lehetőségek"
"LBR_RET_USE","Használjon egyéni nyugdíjkorhatárt"
"LBR_RET_CUS","Egyedi nyugdíjkorhatár"
"LBR_RET_NT1","A nyugdíjkorhatár csökkentése nem változtat azon állampolgárok státuszán, akik a korábbi beállítások szerint már nyugdíjba vonultak."
"LBR_RET_NT2","A nyugdíjkorhatár emelése nem változtat azon állampolgárok helyzetén, akik korábban már nyugdíjba vonultak."
"LBR_CHI","Gyermekkori lehetőségek"
"LBR_CHI_CUS","Használjon egyéni gyermekkorokat"
"LBR_CHI_SCH","Életkor azokban az években, amikor a gyerekek elkezdik az iskolát"
"LBR_CHI_TEE","Életkor azokban az években, amikor a gyerekek elkezdik a középiskolát"
"LBR_CHI_YOU","Életkor azokban az években, amikor a gyerekek elkezdik az egyetemet/főiskolát"
"LBR_HEA","Egészség"
"LBR_HEA_ILL","Véletlenszerű megbetegedések %-is esélye az élet évtizedében"
"LBR_HEA_ILD","Nem befolyásolja a meghatározott okokból eredő betegségeket, pl. szennyezés vagy zaj"
"LBR_HEA_AGE","Életkor"
"LBR_DTH","Halálozás"
"LBR_DTH_TRN","A halotti szállítást igénylő holttestek %-a"
"LBR_DTH_TRD","(A játék alapértelmezett 67%, a mod alapértelmezett 50%)"
"LBR_IMM","Bevándorlás"
"LBR_IMM_VAR","Alkalmazzon 25%-os eltérést a bevándorlók iskolai végzettségére"
"LBR_IMM_INC","Növelje a bevándorlók átlagos képzettségi szintjét"
"LBR_IMM_DEC","Csökkentse az átlagos bevándorlók iskolai végzettségét"
"LBR_SET","Beállítások"
"LBR_SET_LGD","A halálesetek naplózása az „Életciklus halálozási napló.txt” fájlba"
"LBR_SET_LGI","A bevándorlók naplózása az „Életciklus bevándorlás log.txt” fájljába"
"LBR_SET_LGT","Egyéni szállítási lehetőségek naplózása az „Életciklus szállítási log.txt” fájlba FIGYELMEZTETÉS – LASSÍTJA A JÁTÉKOT!"
"LBR_SET_LGS","Betegségi események naplózása az ""Életciklus betegségnapló.txt"" fájlba"
"LBR_SPD","Sebesség"
"LBR_SPD_FAC","Tényező, amely lassítja a polgárok öregedését az alapjátékhoz képest."
"LBR_SPD_FN1","Az 1 az alapjáték sebessége (35 játékon belüli hét 10 éves kornak felel meg), a 2 kétszer lassabb (70 játékon belüli hét 10 éves kor esetén), a 3 háromszor olyan lassú stb. A 15-ös szorzó azt jelenti, hogy a polgárok körülbelül egy évet öregszenek minden játékon belüli év után."
"LBR_SPD_FN2","Nem befolyásolja az életciklusokat vagy az életkorokat – csak azt a sebességet, amellyel a polgárok öregszenek a játék sebességéhez képest."
"LBR_SPD_FN3","(Az alapértelmezett 1, a mod alapértelmezett 3)"
"LBR_TRN","Közlekedés"
"LBR_TRN_CUS","Egyéni szállítási mód valószínűségek használata"
"LBR_TRN_WEA","Vagyoni szint"
"LBR_TRN_CAR","Autóhasználati valószínűség (%)"
"LBR_TRN_BIK","Kerékpárhasználati valószínűség (%)"
"LBR_TRN_TAX","Taxihasználati valószínűség (%)"
"LBR_TRN_RLO","Kis lakóépületek"
"LBR_TRN_RHI","Nagy lakóépületek"
"LBR_TRN_RW2","Lakóépület faltól-falig"
"LBR_TRN_ERL","Kis Eco lakóépületek"
"LBR_TRN_ERH","Nagy ECO lakóépületek "
"LBR_TRN_CHL","Gyermek"
"LBR_TRN_TEN","Tizenéves"
"LBR_TRN_YAD","Fiatal felnőtt"
"LBR_TRN_ADL","Felnőtt"
"LBR_TRN_SEN","Idősek"
"LBR_DEF","alapértelmezett"
"LBR_RTD","Visszaállítás alapértelmezettre"
"LBR_RTS","Vissza a mentettre"
"LBR_SAA","Mentés és alkalmazás"
"LBR_ZRO","Állítsa az összeset nullára"
"LBR_150_TIT","Az Lifecycle Rebalance Revisited az 1.5-ös verzióra frissült"
"LBR_150_NT1","A közlekedési módok most a beállítási panelen keresztül szerkeszthetők, az öko- és a hagyományos lakossági közlekedési módok pedig különböző módokat választhatnak"
"LBR_150_NT2","A városodba költöző emberek iskolai végzettsége módosítható"
"LBR_151_NT1","Módosítsa a beállítások panel elrendezését a fordításokhoz"
"LBR_152_NT1","Az otthon élő kiskorú gyermeket nevelő egyedülálló szülőket megkímélik a korai haláltól, ezzel is segítve az árva háztartások kialakulását"
"LBR_152_NT2","Továbbfejlesztett mod-ütközések ellenőrzése és értesítése"
"LBR_152_NT3","Továbbfejlesztett értesítések"
"LBR_154_NT1","Változtassa meg az egyedülálló szülő halálának kezelését: távolítsa el az árva gyermekeket, ha mindkét szülő meghal (ahelyett, hogy megkímélné a szülőt a haláltól)"
"LBR_154_NT2","Adjon hozzá kódot az érvénytelen adatokkal rendelkező épület lakóinak ellenőrzéséhez és eltávolításához"
"LBR_160_NT1","FŐ ÚJ FUNKCIÓ: valósághű korai öregedés és előrehaladás, a korai gyermekkortól a fiatal felnőttekig (opcionális, személyre szabható)"
"LBR_160_NT2","Az új korai öregedés a valós értékekhez és szakaszokhoz igazodik, és magában foglalja az iskola előtti életszakaszt (kisgyermekek)"
"LBR_160_NT3","Ez az opció engedélyezhető/letiltható és testreszabható a mod beállítási paneljén"
"LBR_160_NT4","MEGJEGYZÉS: ez az opció kezdetben alapértelmezés szerint engedélyezve van"
